Incident ID,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201254537,2305,190041504,08/30/2019 09:07:38 AM,23F,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,ROCKVILLE,1000 BLK  GRANDIN AVE,ROCKVILLE,MD,20851,RCPD,Residence - Single Family,A,1A2,291,1000,,GRANDIN,,AVE,08/29/2019 09:30:00 PM,08/30/2019 08:00:00 AM,39.080043791,-77.133974561,1D,"(39.08, -77.134)"
201087148,5311,16033275,,90C,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,SILVER SPRING,900 BLK  ELLSWORTH DR,SILVER SPRING,MD,20910,MCPD,Street - Commercial,G,3G1,671,900,,ELLSWORTH,,DR,07/01/2016 09:46:00 AM,,38.996854943,-77.025432459,3D,"(38.9969, -77.0254)"
201255288,1216,190042407,09/04/2019 05:05:16 PM,120,1,Crime Against Property,Robbery,ROBBERY - STRONG ARM,WHEATON,11000 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902,MCPD,Air/Bus/Train/Metro Terminal,L,4L2,321,11000,,VEIRS MILL,,RD,09/04/2019 05:05:00 PM,,39.036133072,-77.050154132,4D,"(39.0361, -77.0502)"
201087152,4199,16033291,,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),GERMANTOWN,20000 BLK  CENTURY BLV,GERMANTOWN,MD,20874,MCPD,Street - Bus Stop,N,5N1,702,20000,,CENTURY,,BLV,07/01/2016 11:54:00 AM,,39.183987934,-77.26164675,5D,"(39.184, -77.2616)"
201087164,3699,16033267,,11D,1,Crime Against Person,Fondling,SEX OFFENSE - FONDLING,GERMANTOWN,12900 BLK  MIDDLEBROOK RD,GERMANTOWN,MD,20874,MCPD,Parking Lot - County,N,5N1,702,12900,,MIDDLEBROOK,,RD,07/01/2016 08:13:00 AM,,39.178860922,-77.267408781,5D,"(39.1789, -77.2674)"
201216666,2303,180059712,11/29/2018 04:01:05 PM,23C,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,1  BLK  GRAND CORNER AVE,GAITHERSBURG,MD,20878,MCPD,Retail - Department/Discount Store,P,6P1,549,1,,GRAND CORNER,,AVE,11/29/2018 02:45:00 PM,,39.118034511,-77.200451522,6D,"(39.118, -77.2005)"
201087167,1399,16033290,,13B,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,GERMANTOWN,14400 BLK  SATURN WAY,BOYDS,MD,20841,MCPD,Residence - Single Family,N,5N2,586,14400,,SATURN,,WAY,07/01/2016 11:17:00 AM,,39.170555018,-77.298767388,5D,"(39.1706, -77.2988)"
201087171,9106,16033317,,90Z,1,Other,All Other Offenses,MENTAL ILLNESS,BETHESDA,7400 BLK  WESTLAKE TER,BETHESDA,MD,20817,MCPD,Residence - Apartment/Condo,E,2E3,520,7400,,WESTLAKE,,TER,07/01/2016 01:31:00 PM,07/01/2016 01:31:00 PM,39.027013411,-77.150551083,2D,"(39.027, -77.1506)"
201257007,2303,190044554,,23C,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,WHEATON,14000 BLK  CONNECTICUT AVE,SILVER SPRING,MD,20906,MCPD,Retail - Department/Discount Store,K,4K1,534,14000,,CONNECTICUT,,AVE,09/17/2019 03:30:00 PM,09/17/2019 04:00:00 PM,39.083822107,-77.077656569,4D,"(39.0838, -77.0777)"
201087174,3615,16033304,,90C,1,Crime Against Society,All Other Offenses,SEX OFFENSE - INDECENT EXPOSURE TO ADULT,SILVER SPRING,10100 BLK  GEORGIA AVE,SILVER SPRING,MD,20902,MCPD,Street - Residential,G,3G2,174,10100,,GEORGIA,,AVE,07/01/2016 12:18:00 PM,07/01/2016 12:30:00 PM,39.020555639,-77.044451872,3D,"(39.0206, -77.0445)"
201121059,1399,17005683,,13B,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,MONTGOMERY VILLAGE,1  BLK  CHESTNUT ST,GAITHERSBURG,MD,20877,GPD,Residence - Apartment/Condo,P,6P2,428,1,,CHESTNUT,,ST,02/01/2017 09:47:00 PM,02/01/2017 09:48:00 PM,39.143934517,-77.201651639,6D,"(39.1439, -77.2017)"
201087177,9199,16033299,,90Z,1,Other,All Other Offenses,POLICE INFORMATION,WHEATON,13700 BLK  CONNECTICUT AVE,ROCKVILLE,MD,20906,MCPD,Retail - Department/Discount Store,K,4K2,337,13700,,CONNECTICUT,,AVE,07/01/2016 10:07:00 AM,,39.078910908,-77.080827009,4D,"(39.0789, -77.0808)"
201087184,5404,16033237,,90D,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,GERMANTOWN,19900 BLK  AIRCRAFT DR,GERMANTOWN,MD,20874,MCPD,Street - Commercial,N,5N1,702,19900,,AIRCRAFT,,DR,07/01/2016 12:58:00 AM,07/01/2016 12:00:00 AM,39.182105793,-77.260252303,5D,"(39.1821, -77.2603)"
201087186,2303,16033340,,23C,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,1  BLK  GRAND CORNER AVE,GAITHERSBURG,MD,20878,MCPD,Retail - Department/Discount Store,P,6P1,549,1,,GRAND CORNER,,AVE,07/01/2016 03:42:00 PM,,39.118034511,-77.200451522,6D,"(39.118, -77.2005)"
201257762,2404,190045517,09/23/2019 06:19:05 AM,240,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,SILVER SPRING,100 BLK  SUNNYSIDE RD,SILVER SPRING,MD,20910,MCPD,Street - Residential,G,3G1,115,100,,SUNNYSIDE,,RD,09/22/2019 08:00:00 PM,09/23/2019 06:12:00 AM,38.988799572,-77.008850671,3D,"(38.9888, -77.0089)"
201087195,4199,16033323,,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),ROCKVILLE,13200 BLK  MIDWAY AVE,ROCKVILLE,MD,20851,MCPD,Park,A,1A2,299,13200,,MIDWAY,,AVE,07/01/2016 02:39:00 PM,,39.073001895,-77.118802303,1D,"(39.073, -77.1188)"
201087197,4199,16033337,,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),ROCKVILLE,2000 BLK  VEIRS MILL RD,ROCKVILLE,MD,20851,MCPD,Retail - Other,A,1A2,521,2000,,VEIRS MILL,,RD,07/01/2016 04:01:00 PM,,39.075519294,-77.117219717,1D,"(39.0755, -77.1172)"
201087211,4199,16033382,,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),WHEATON,14100 BLK  GEORGIA AVE,ROCKVILLE,MD,20906,MCPD,Street - Other,K,4K1,534,14100,,GEORGIA,,AVE,07/01/2016 07:48:00 PM,,39.086244376,-77.079083437,4D,"(39.0862, -77.0791)"
201257906,2305,190045676,,23F,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,MONTGOMERY VILLAGE,9500 BLK  BRIAR GLENN WAY,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,R,6R2,504,9500,,BRIAR GLENN,,WAY,09/23/2019 08:00:00 PM,09/24/2019 05:30:00 AM,39.185716036,-77.195270358,6D,"(39.1857, -77.1953)"
201257906,2404,190045676,,240,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,MONTGOMERY VILLAGE,9500 BLK  BRIAR GLENN WAY,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,R,6R2,504,9500,,BRIAR GLENN,,WAY,09/23/2019 08:00:00 PM,09/24/2019 05:30:00 AM,39.185716036,-77.195270358,6D,"(39.1857, -77.1953)"
201087217,3562,16033369,,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,ROCKVILLE,400 BLK  WATTS BRANCH PKW,POTOMAC,MD,20850,RCPD,Street - In vehicle,B,1B1,239,400,,WATTS BRANCH,,PKW,07/01/2016 05:32:00 PM,07/01/2016 05:45:00 PM,39.079742357,-77.171529309,1D,"(39.0797, -77.1715)"
201087219,2304,16033403,,23G,1,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,SILVER SPRING,12200 BLK  TECH RD,SILVER SPRING,MD,20904,MCPD,Parking Lot - Park & Ride,I,3I1,146,12200,,TECH,,RD,07/01/2016 05:00:00 AM,07/01/2016 09:00:00 PM,39.055151652,-76.966598435,3D,"(39.0552, -76.9666)"
201087221,9199,16033404,,90Z,1,Other,All Other Offenses,POLICE INFORMATION,SILVER SPRING,100 BLK  CROYDON CT,SILVER SPRING,MD,20901,MCPD,Residence - Yard,G,3G2,123,100,,CROYDON,,CT,07/01/2016 09:05:00 PM,07/01/2016 09:05:00 PM,39.00402168,-77.011898041,3D,"(39.004, -77.0119)"
201242543,3512,190026723,06/04/2019 06:04:44 PM,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,MONTGOMERY VILLAGE,800 BLK  RUSSELL AVE,GAITHERSBURG,MD,20879,MCPD,Street - In vehicle,R,6R1,426,800,,RUSSELL,,AVE,06/04/2019 06:05:00 PM,,39.154737657,-77.209744079,6D,"(39.1547, -77.2097)"
201110466,2604,16062430,,26C,1,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,BETHESDA,3600 BLK  SPRING ST,CHEVY CHASE,MD,20815,MCPD,Other/Unknown,D,2D1,012,3600,,SPRING,,ST,12/02/2016 09:30:00 PM,,38.978819952,-77.07178321,2D,"(38.9788, -77.0718)"
201226371,5403,190006553,02/10/2019 12:50:02 PM,90D,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE DRUGS,GERMANTOWN,11500 BLK  MIDDLEBROOK RD,GERMANTOWN,MD,20876,MCPD,Parking Lot - Commercial,M,5M1,468,11500,,MIDDLEBROOK,,RD,02/10/2019 12:50:00 PM,,39.181166018,-77.238519833,5D,"(39.1812, -77.2385)"
201260037,2902,190048388,10/08/2019 09:02:15 PM,290,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,ROCKVILLE,,ROCKVILLE,MD,20852,MCPD,Street - Residential,A,1A1,734,,,MONTROSE,,RD,10/08/2019 09:02:00 PM,,39.053161967,-77.130940066,1D,"(39.0532, -77.1309)"
201087222,2303,16033358,,23C,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,SILVER SPRING,12000 BLK  CHERRY HILL RD,SILVER SPRING,MD,20904,MCPD,Retail - Department/Discount Store,I,3I1,146,12000,,CHERRY HILL,,RD,07/01/2016 04:40:00 PM,07/01/2016 04:51:00 PM,39.052697306,-76.953178424,3D,"(39.0527, -76.9532)"
201087223,3562,16033398,,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,8100 BLK  FENTON ST,SILVER SPRING,MD,20910,MCPD,Parking Garage - County,G,3G1,093,8100,,FENTON,,ST,07/01/2016 09:00:00 PM,07/01/2016 09:10:00 PM,38.990257234,-77.023965107,3D,"(38.9903, -77.024)"
201087224,9106,16033378,,90Z,1,Other,All Other Offenses,MENTAL ILLNESS,WHEATON,18400 BLK  PARADISE COVE TER,OLNEY,MD,20832,MCPD,Residence - Single Family,J,4J2,401,18400,,PARADISE COVE,,TER,07/01/2016 06:12:00 PM,07/01/2016 06:22:00 PM,39.157359176,-77.05253119,4D,"(39.1574, -77.0525)"
201223983,9109,190003443,01/22/2019 09:25:28 PM,90Z,1,Other,All Other Offenses,RECOVERED PROPERTY - OTHER,GERMANTOWN,,GERMANTOWN,MD,20874,MCPD,Street - In vehicle,N,5N1,702,,,LOCBURY,,DR,01/22/2019 08:25:00 PM,,39.187273022,-77.26649819,5D,"(39.1873, -77.2665)"
201248498,2404,190034077,07/18/2019 09:26:39 AM,240,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,ROCKVILLE,12200 BLK  BRAXFIELD CT,ROCKVILLE,MD,20852,MCPD,Parking Lot - Residential,A,1A2,303,12200,,BRAXFIELD,,CT,07/17/2019 07:00:00 PM,07/18/2019 08:50:00 AM,39.056692629,-77.107009069,1D,"(39.0567, -77.107)"
201269054,5404,190059786,,90D,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,MONTGOMERY VILLAGE,900 BLK  CLOPPER RD,GAITHERSBURG,MD,20878,MCPD,Street - In vehicle,P,6P2,593,900,,CLOPPER,,RD,11/14/2019 01:19:00 AM,,39.146058755,-77.228346549,6D,"(39.1461, -77.2283)"
201228491,2303,190009179,02/26/2019 04:58:58 PM,23C,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902,MCPD,Retail - Department/Discount Store,L,4L2,321,11100,,VEIRS MILL,,RD,02/26/2019 04:30:00 PM,02/26/2019 05:00:00 PM,39.0364436,-77.056112,4D,"(39.0364, -77.0561)"
201255519,3561,190042301,,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - SMUGGLE,ROCKVILLE,7300 BLK  CALHOUN PL,DERWOOD,MD,20855,MCPD,Commercial - Industrial park,A,1A4,281,7300,,CALHOUN,,PL,09/06/2019 10:34:00 AM,,39.107938145,-77.148110004,1D,"(39.1079, -77.1481)"
201222072,4104,190000740,01/04/2019 10:07:11 PM,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,WHEATON,16800 BLK  OAK HILL RD,SILVER SPRING,MD,20905,MCPD,Residence - Single Family,J,4J1,680,16800,,OAK HILL,,RD,01/04/2019 10:22:00 PM,,39.131492038,-76.971393239,4D,"(39.1315, -76.9714)"
201257054,1114,190044615,09/17/2019 08:54:14 PM,11B,1,Crime Against Person,Forcible Sodomy,SEX ASSAULT - SODOMY-GIRL-STRONG-ARM,GERMANTOWN,11400 BLK  BEEHIVE CT,GERMANTOWN,MD,20876,MCPD,Residence -Townhouse/Duplex,M,5M1,471,11400,,BEEHIVE,,CT,09/17/2019 08:51:00 PM,,39.191836982,-77.23788952,5D,"(39.1918, -77.2379)"
201220845,5311,180065056,12/29/2018 11:34:16 AM,90C,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,BETHESDA,8500 BLK  CONNECTICUT AVE,CHEVY CHASE,MD,20815,MCPD,Bank/S&L/Credit Union,D,2D3,040,8500,,CONNECTICUT,,AVE,12/29/2018 11:34:00 AM,,38.994898531,-77.077174629,2D,"(38.9949, -77.0772)"
201154328,1399,170532913,09/24/2017 07:47:42 PM,13B,5,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876,MCPD,Retail - Other,M,5M1,701,20900,,FREDERICK,,RD,09/24/2017 07:47:00 PM,09/24/2017 11:00:00 PM,39.1982954,-77.2448997,5D,"(39.1983, -77.2449)"
201087231,4104,16033420,,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,SILVER SPRING,8700 BLK  PINEY BRANCH RD,SILVER SPRING,MD,20903,MCPD,Street - Alley,H,3H1,128,8700,,PINEY BRANCH,,RD,07/01/2016 10:21:00 PM,07/01/2016 10:21:00 PM,38.998869356,-76.998236079,3D,"(38.9989, -76.9982)"
201264834,3512,190053900,,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,ROCKVILLE,700 BLK  ROCKVILLE PIK,ROCKVILLE,MD,20852,MCPD,Street - Commercial,A,1A2,274,700,,ROCKVILLE,,PIK,11/08/2019 04:00:00 PM,11/08/2019 12:00:00 AM,39.079982139,-77.143433864,1D,"(39.08, -77.1434)"
201260912,2303,190049304,,23C,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876,MCPD,Retail - Department/Discount Store,M,5M1,701,20900,,FREDERICK,,RD,10/14/2019 03:00:00 PM,10/14/2019 03:00:00 PM,39.198413208,-77.244945742,5D,"(39.1984, -77.2449)"
201087233,9199,16033424,,90Z,1,Other,All Other Offenses,POLICE INFORMATION,MONTGOMERY VILLAGE,9900 BLK  MEDICAL CENTER DR,ROCKVILLE,MD,20850,MCPD,Hospital/Emergency Care Center,P,6P1,721,9900,,MEDICAL CENTER,,DR,07/01/2016 09:56:00 PM,,39.096649393,-77.199426121,6D,"(39.0966, -77.1994)"
201254549,1114,190040241,,11B,1,Crime Against Person,Forcible Sodomy,SEX ASSAULT - SODOMY-GIRL-STRONG-ARM,ROCKVILLE,1700 BLK  GRUENTHER AVE,ROCKVILLE,MD,20851,MCPD,Residence - Single Family,A,1A2,293,1700,,GRUENTHER,,AVE,05/01/2017 01:42:00 PM,08/23/2019 12:00:00 AM,39.080855319,-77.116907574,1D,"(39.0809, -77.1169)"
201272289,3562,200000536,01/04/2020 01:08:28 AM,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,500 BLK  ASHFORD RD,SILVER SPRING,MD,20910,MCPD,Street - In vehicle,G,3G2,119,500,,ASHFORD,,RD,01/03/2020 01:56:00 AM,01/05/2020 12:00:00 AM,39.003250554,-77.016456202,3D,"(39.0033, -77.0165)"
201254549,9003,190040241,,11C,1,Crime Against Person,Sexual Assault With An Object,SEX ASSAULT - WITH AN OBJECT,ROCKVILLE,1700 BLK  GRUENTHER AVE,ROCKVILLE,MD,20851,MCPD,Residence - Single Family,A,1A2,293,1700,,GRUENTHER,,AVE,05/01/2017 01:42:00 PM,08/23/2019 12:00:00 AM,39.080855319,-77.116907574,1D,"(39.0809, -77.1169)"
201261360,5404,190049922,,90D,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,MONTGOMERY VILLAGE,9800 BLK  WASHINGTONIAN BLV,GAITHERSBURG,MD,20878,MCPD,Street - In vehicle,P,6P1,549,9800,,WASHINGTONIAN,,BLV,10/18/2019 12:06:00 AM,,39.114193822,-77.197117213,6D,"(39.1142, -77.1971)"
201261684,9199,190050489,,90Z,1,Other,All Other Offenses,POLICE INFORMATION,MONTGOMERY VILLAGE,9700 BLK  BRASSIE WAY,MONTGOMERY VILLAGE,MD,20886,MCPD,Residence -Townhouse/Duplex,R,6R2,544,9700,,BRASSIE,,WAY,10/20/2019 05:00:00 PM,,39.17527722,-77.202005922,6D,"(39.1753, -77.202)"
201252599,9101,190039103,08/16/2019 08:49:03 AM,90Z,1,Other,All Other Offenses,SUDDEN DEATH,GERMANTOWN,13300 BLK  COPPER RIDGE RD,GERMANTOWN,MD,20874,MCPD,Residence - Single Family,N,5N2,448,13300,,COPPER RIDGE,,RD,08/16/2019 12:01:00 AM,08/16/2019 07:30:00 AM,39.154276083,-77.279090822,5D,"(39.1543, -77.2791)"
201261916,1399,190050801,10/22/2019 07:23:54 PM,13B,3,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,GERMANTOWN,26000 BLK  BRIGADIER PL,DAMASCUS,MD,20872,MCPD,Residence - Apartment/Condo,M,5M2,615,26000,,BRIGADIER,,PL,10/22/2019 07:23:00 PM,,39.283208546,-77.204422695,5D,"(39.2832, -77.2044)"
201261916,5212,190050801,10/22/2019 07:23:54 PM,520,1,Crime Against Society,Weapon Law Violations,WEAPON - POSSESSION,GERMANTOWN,26000 BLK  BRIGADIER PL,DAMASCUS,MD,20872,MCPD,Residence - Apartment/Condo,M,5M2,615,26000,,BRIGADIER,,PL,10/22/2019 07:23:00 PM,,39.283208546,-77.204422695,5D,"(39.2832, -77.2044)"
201172361,2203,180004399,01/26/2018 06:46:06 AM,220,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,SILVER SPRING,1700 BLK  ELTON RD,SILVER SPRING,MD,20903,MCPD,Construction Site,H,3H2,140,1700,,ELTON,,RD,01/25/2018 06:00:00 PM,01/26/2018 06:15:00 AM,39.019955891,-76.97485282,3D,"(39.02, -76.9749)"
201229747,3605,190010815,03/08/2019 01:10:33 PM,90C,1,Crime Against Society,All Other Offenses,SEX OFFENSE - INDECENT EXPOSURE,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902,MCPD,Retail - Mall,L,4L2,321,11100,,VEIRS MILL,,RD,03/08/2019 11:00:00 AM,,39.037383899,-77.051682322,4D,"(39.0374, -77.0517)"
201265357,2605,190054968,11/14/2019 06:07:54 PM,26B,1,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,SILVER SPRING,400 BLK  PERSHING DR,SILVER SPRING,MD,20910,MCPD,Retail - Mall,G,3G2,117,400,,PERSHING,,DR,11/14/2019 06:00:00 PM,,39.004605786,-77.017180584,3D,"(39.0046, -77.0172)"
201261978,2404,190050885,10/23/2019 09:27:43 AM,240,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,MONTGOMERY VILLAGE,100 BLK  BENT TWIG LA,GAITHERSBURG,MD,20878,GPD,Parking Lot - Residential,P,6P1,441,100,,BENT TWIG,,LA,10/23/2019 09:27:00 AM,,39.115146792,-77.214375251,6D,"(39.1151, -77.2144)"
201087238,5404,16033416,,90D,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,WHEATON,12400 BLK  GEORGIA AVE,SILVER SPRING,16,20906,MCPD,Street - In vehicle,K,4K1,351,12400,,GEORGIA,,AVE,07/01/2016 09:21:00 PM,,39.060204894,-77.051175372,4D,"(39.0602, -77.0512)"
201265442,5707,190055164,11/15/2019 04:55:05 PM,90J,1,Crime Against Society,Trespass of Real Property,TRESPASSING,SILVER SPRING,900 BLK  BONIFANT ST,SILVER SPRING,MD,20910,MCPD,Retail - Sporting Goods,G,3G1,670,900,,BONIFANT,,ST,11/15/2019 04:00:00 PM,11/15/2019 05:00:00 PM,38.994417385,-77.024153593,3D,"(38.9944, -77.0242)"
201265451,4199,190055242,11/16/2019 12:27:45 AM,90G,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,9700 BLK  WASHINGTONIAN BLV,GAITHERSBURG,MD,20878,GPD,Hotel/Motel/Etc.,P,6P1,549,9700,,WASHINGTONIAN,,BLV,11/16/2019 12:27:00 AM,,39.111631923,-77.192816232,6D,"(39.1116, -77.1928)"
201265600,5404,190055418,,90D,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,MONTGOMERY VILLAGE,2500 BLK  E370 270-SG HWY,GAITHERSBURG,MD,20877,GPD,Street - In vehicle,P,6P3,786,2500,,E370 270-SG,,HWY,11/17/2019 01:21:00 AM,,39.120389516,-77.184003547,6D,"(39.1204, -77.184)"
